K,BaselinePeakMB,SpaceSavingPeakMB,SpaceSavingOverheadMB,ProcessingTimeSeconds
100,64.7300,65.0700,0.3400,21.712400
500,64.7300,64.9300,0.2000,22.863400
1000,64.7300,65.1100,0.3800,24.559200
5000,64.7300,65.8500,1.1200,24.660000
